id,exam,question_type,question,ground_truth_answer,ground_truth_ref,ground_truth_doc_id
A2_039,A2,with_options,"¿Cuál de las siguientes afirmaciones sobre los trienios es correcta?
a) Serán iguales, en todas las Administraciones públicas, para cada uno de los grupos de clasificación según el nivel del complemento de destino que se perciba.
b) Corresponde al índice de proporcionalidad asignado anualmente a cada uno de los grupos en que se organizan los Cuerpos y Escalas, Clases o Categorías.
c) Serán iguales en todas las Administraciones públicas, para cada uno de los grupos en que se clasifican los cuerpos, escalas, categorías o clases de funcionarios.
d) Corresponde al índice de proporcionalidad asignado cada tres años a cada uno de los grupos en que se organizan los Cuerpos y Escalas, Clases o Categorías.","Serán iguales en todas las Administraciones públicas, para cada uno de los grupos en que se clasifican los cuerpos, escalas, categorías o clases de funcionarios",Artículo veintitrés.,doc061
A2_040,A2,with_options," El nombramiento del Defensor del Pueblo será acreditado:
a) Por el Presidente del Gobierno, con su firma.
b) Solamente por el Presidente del Senado, con su firma.
c) Conjuntamente por los Presidentes del Congreso y del Senado con sus firmas.
d) Por el Rey con su firma.",Conjuntamente por los Presidentes del Congreso y del Senado con sus firmas.,Artículo cuarto.,doc125
A2_041,A2,with_options,"En caso de cese en el cargo de Magistrado del Tribunal Constitucional, por haber sido declarado responsable civilmente por dolo:
a) Decidirá el Tribunal en Pleno, por mayoría simple.
b) Decidirá el Tribunal en Pleno, por mayoría de las tres cuartas partes de sus miembros.
c) Decidirá el presidente del Tribunal Constitucional.
d) Decidirá el Tribunal en pleno, por mayoría de las tres quintas partes de sus miembros","Decidirá el Tribunal en Pleno, por mayoría de las tres cuartas partes de sus miembros.",Artículo veintitrés.,doc128
A2_042,A2,with_options,"Señale la afirmación correcta:
a) El Consejo de Estado emitirá dictamen sobre cuantos asuntos sometan a su consulta el Gobierno o sus miembros.
b) La consulta al Consejo de Estado será facultativa cuando así lo establezcan las leyes, siendo los dictámenes que emite vinculantes.
c) Los dictámenes del Consejo de Estado serán vinculantes, salvo que su Presidente disponga lo contrario.
d) Los asuntos en que hubiera dictaminado el Pleno del Consejo de Estado podrán remitirse a informe de otro órgano de la Administración.",El Consejo de Estado emitirá dictamen sobre cuantos asuntos sometan a su consulta el Gobierno o sus miembros.,Artículo segundo.,doc124
A2_043,A2,with_options,"La creación y supresión de las Misiones Diplomáticas Permanentes y Representaciones Permanentes se realizará mediante:
a) Real decreto del Consejo de Ministros, a iniciativa del Ministerio de Asuntos Exteriores y de Cooperación, y a propuesta del Ministerio de Hacienda y Administraciones Públicas, previo informe del Consejo Ejecutivo de Política Exterior.
b) Ley de las Cortes Generales, previo informe del Consejo de Política Exterior.
c) Orden del Ministro de Asuntos Exteriores.
d) Real decreto del Consejo de Ministros, a iniciativa del Ministerio del Interior, y a propuesta del Ministerio de Asuntos Exteriores y de Cooperación, previo informe del Consejo Ejecutivo de Política Exterior","Real decreto del Consejo de Ministros, a iniciativa del Ministerio de Asuntos Exteriores y de Cooperación, y a propuesta del Ministerio de Hacienda y Administraciones Públicas, previo informe del Consejo Ejecutivo de Política Exterior",Artículo 42.,doc057
A2_044,A2,with_options,"Indique cuál es el órgano que aunará el conjunto de la información estadística disponible en materia de extranjería, inmigración, protección internacional y nacionalidad, con independencia de la Administración Pública responsable de su elaboración. Indique cuál:
a) Consejo General para la Inmigración.
b) Comisión Multilateral para la Inmigración.
c) Observatorio Permanente de la Inmigración.
d) Foro para la Integración Social de los Inmigrantes",Observatorio Permanente de la Inmigración.,Disposición adicional quinta.,doc134
A2_045,A2,with_options,"La Sala de lo Penal de la Audiencia Nacional conocerá de:
a) Los delitos cometidos fuera del territorio nacional, cuando conforme a las leyes o a los tratados corresponda su enjuiciamiento a los Tribunales españoles.
b) Los recursos de casación, revisión y otros extraordinarios en materia penal que establezca la ley.
c) La instrucción y enjuiciamiento de las causas contra el Presidente del Gobierno, Presidentes del Congreso y del Senado, Presidente del Tribunal Supremo y del Consejo General del Poder Judicial, Presidente del Tribunal Constitucional, miembros del Gobierno, Diputados y Senadores.
d) La instrucción y el fallo de las causas penales contra jueces, magistrados y miembros del Ministerio Fiscal por delitos o faltas cometidos en el ejercicio de su cargo en la comunidad autónoma, siempre que esta atribución no corresponda al Tribunal Supremo.","Los delitos cometidos fuera del territorio nacional, cuando conforme a las leyes o a los tratados corresponda su enjuiciamiento a los Tribunales españoles",Artículo 23.,doc126
A2_046,A2,off_topic,¿Qué requisitos debo cumplir para constituir una sociedad limitada en España?,,,
A2_047,A2,off_topic,¿Cuánto tiempo de antigüedad hace falta para solicitar una excedencia voluntaria en una empresa privada?,,,
A2_048,A2,off_topic,¿Qué recursos existen para reclamar una factura de electricidad que considero incorrecta?,,,
A2_049,A2,off_topic,¿Cómo se solicita el certificado de antecedentes penales para trabajar en el extranjero?,,,
A2_050,A2,off_topic,¿Cuál es el plazo para presentar la declaración de la renta de una persona física?,,,
A2_051,A2,off_topic,¿Qué vacunas necesito para viajar a Kenia?,,,
A2_052,A2,off_topic,¿Cómo puedo saber si un cuadro es una copia o una obra original?,,,
A2_053,A2,off_topic,¿Qué diferencia hay entre el aceite de oliva virgen y virgen extra?,,,
A2_054,A2,off_topic,¿Cuáles son los síntomas más comunes de una intolerancia a la lactosa?,,,
A2_055,A2,off_topic,¿Qué documentación necesito para matricular un coche importado de otro país?,,,
