id,exam,question_type,question,ground_truth_answer,ground_truth_ref,ground_truth_doc_id
C1_022,C1,standard,¿Quién tiene la competencia para la concesión de una subvención de cuantía de 10 millones de euros en un Organismo Autónomo?,El Presidente o Director del Organismo Autónomo; esta competencia podrá ser objeto de desconcentración,Artículo 10.,doc104
C1_023,C1,standard,¿Qué Comisión se designará en las Cortes Generales para relacionarse con el Defensor del Pueblo e informar a los respectivos Plenos en cuantas ocasiones sea necesario?,Una Comisión Mixta Congreso-Senado,Artículo 2.,doc125
C1_024,C1,standard,¿Podrá la Comisión General de Secretarios de Estado y Subsecretarios adoptar decisiones o acuerdos por delegación del Gobierno?,"No, en ningún caso.",Artículo 8.,doc091
C1_025,C1,standard,¿Por quién será nombrada la presidencia de la Agencia Española de Protección de Datos?,"El Gobierno, a propuesta del Ministerio de Justicia.",Artículo 48.,doc121
C1_026,C1,standard,¿A quién le competen las funciones de Ordenador General de pagos del Estado?,Al Director General del Tesoro y Política Financiera.,Artículo 75.,doc107
C1_027,C1,standard,¿En qué casos los contratos administrativos especiales serán susceptibles de recurso especial en materia de contratación?,Cuando por sus características no sea posible fijar su precio de licitación.,Artículo 44.,doc043
C1_028,C1,standard,¿Cuál es el plazo improrrogable dentro del cual deberá desarrollarse la ejecución de la oferta de empleo público o instrumento similar?,Tres años.,Artículo 70.,doc220
C1_029,C1,standard,¿Cómo se pueden recurrir las resoluciones dictadas en materia de acceso a la información pública?,Mediante recurso contencioso administrativo,Artículo 20.,doc089
C1_030,C1,standard,"¿Qué principio se define como ""la capacidad de las Administraciones Públicas para que partiendo del conocimiento adquirido del usuario final del servicio, proporcione servicios precumplimentados y se anticipe a las necesidades""?",Personalización y proactividad.,Artículo 2.,doc184
C1_031,C1,with_options,"El derecho de acceso a la información pública podrá ser limitado cuando acceder a la información suponga un perjuicio para:
a) La seguridad nacional.
b) La seguridad e higiene en el trabajo.
c) La protección del anonimato de los empleados públicos.
d) La protección de datos de carácter profesional.",La seguridad nacional.,Artículo 14.,doc089
C1_032,C1,with_options,"Señale la respuesta correcta en materia de registros:
a) Los Organismos públicos vinculados o dependientes de cada Administración deberán disponer de su propio registro electrónico plenamente interoperable e interconectado con el Registro Electrónico General de la Administración de la que depende.
b) Cada Administración dispondrá de un Registro Electrónico General donde se deberá anotar la salida de los documentos oficiales provenientes de otros órganos o particulares.
c) Las disposiciones de creación de registros electrónicos especificarán el órgano o unidad responsable de su gestión, así como la fecha y hora oficial y los días declarados como hábiles.
d) Los Organismos públicos vinculados o dependientes de cada Administración podrán disponer de su propio registro electrónico plenamente interoperable e interconectado con el Registro Electrónico General de la Administración de la que depende.",Los Organismos públicos vinculados o dependientes de cada Administración podrán disponer de su propio registro electrónico plenamente interoperable e interconectado con el Registro Electrónico General de la Administración de la que depende.,Artículo 16.,doc095
C1_033,C1,with_options,"Las Administraciones Públicas, en relación con sus sistemas de identificación:
a) Podrán hacer pública la relación de certificados electrónicos utilizados, incluyendo las características de los sellos electrónicos y los prestadores que los expiden.
b) Podrán identificarse mediante el uso de un certificado electrónico reconocido o cualificado.
c) Deberán identificarse mediante el uso de un sello electrónico basado en una firma electrónica reconocida o cualificada que reúna los requisitos exigidos por la legislación de certificado electrónico.
d) Podrán identificarse mediante el uso de un sello electrónico basado en un certificado electrónico reconocido o cualificado que reúna los requisitos exigidos por la legislación de firma electrónica.",Podrán identificarse mediante el uso de un sello electrónico basado en un certificado electrónico reconocido o cualificado que reúna los requisitos exigidos por la legislación de firma electrónica.,Artículo 40.,doc082
C1_034,C1,with_options,"En relación con la revisión de precios en los contratos celebrados con precios provisionales:
a) Podrá admitirse la revisión de precios siempre que el período de recuperación de la inversión sea inferior a cinco años.
b) Podrá admitirse la revisión de precios siempre que el período de recuperación de la inversión sea igual o superior a cinco años.
c) Podrá admitirse la revisión de precios cuando el contrato se hubiese ejecutado, al menos, en el 20 por ciento de su importe y hubiese transcurrido un año desde su formalización.
d) No cabrá la revisión de precios.",No cabrá la revisión de precios.,Artículo 102.,doc043
C1_035,C1,with_options,"La condición de funcionario de carrera se adquiere, además de por la superación del proceso selectivo, por el cumplimiento del siguiente requisito:
a) No se exige ningún requisito adicional.
b) Superar un reconocimiento médico que excluya padecer una enfermedad infectocontagiosa.
c) Presentar el certificado de penales.
d) La toma de posesión dentro del plazo señalado.",La toma de posesión dentro del plazo señalado.,Artículo 62.,doc220
C1_036,C1,with_options,"Los funcionarios de carrera se hallan en situación de servicio activo:
a) Cuando acceden a la condición de Diputado o Senador.
b) Cuando se encuentren en comisión de servicios.
c) Cuando sean transferidos a una comunidad autónoma.
d) Cuando estén en expectativa de destino",Cuando se encuentren en comisión de servicios,Artículo 3.,doc195
C1_037,C1,with_options,"Señale la respuesta correcta en relación con el proyecto de Ley de los Presupuestos Generales del Estado:
a) El Gobierno deberá presentar ante el Congreso de los Diputados los Presupuestos Generales del Estado al menos seis meses antes de la expiración de los del año anterior.
b) Corresponderá al Ministro de la Presidencia elevar al acuerdo del Gobierno el anteproyecto de la Ley de Presupuestos Generales del Estado.
c) Será remitido a las Cortes Generales antes del día 1 de octubre del año anterior al que se refiera.
d) Corresponderá al Ministro de Hacienda aprobar el anteproyecto de la Ley de Presupuestos Generales del Estado",Será remitido a las Cortes Generales antes del día 1 de octubre del año anterior al que se refiera.,Artículo 37.,doc107
C1_038,C1,with_options,"¿Cuál de las siguientes funciones le corresponde al Tribunal de Cuentas?
a) El control financiero permanente.
b) La fiscalización externa, permanente y consuntiva de la actividad económico-financiera del sector público.
c) La función interventor","La fiscalización externa, permanente y consuntiva de la actividad económico-financiera del sector público.",Artículo 2.,doc129
C1_039,C1,with_options,"¿Cuál de las siguientes opciones es correcta respecto a los Estatutos de Autonomía?
a) Son la norma institucional superior de cada comunidad autónoma y del Estado.
b) El Estado los reconocerá y amparará como parte integrante de su ordenamiento jurídico.
c) El procedimiento de reforma requerirá, en todo caso, la celebración de un referéndum y la aprobación por las Cortes Generales, mediante ley orgánica.
d) Se aprueban por ley ordinaria. ",El Estado los reconocerá y amparará como parte integrante de su ordenamiento jurídico.,Artículo 147.,doc015
C1_040,C1,with_options,"La modificación de la clasificación profesional de determinados colectivos de personal, sólo podrá ser aprobada:
a) Por la Subcomisión Paritaria a la que pertenezca.
b) Por la Comisión Negociadora del Convenio.
c) Por la Comisión Paritaria.
d) Por mayoría del colectivo afectado. ",Por la Comisión Negociadora del Convenio.,Artículo 11.,doc034
C1_041,C1,with_options,"Indique la respuesta correcta en relación con los municipios, de conformidad con lo establecido en la Ley 7/1985, de 2 de abril, Reguladora de las Bases del Régimen Local:
a) El Alcalde, los Tenientes de Alcalde, el Pleno y la Junta de Gobierno Local existen en todos los ayuntamientos.
b) Los Tenientes de Alcalde sustituyen, por el orden de su nombramiento y en los casos de vacante, ausencia o enfermedad, al Alcalde, siendo libremente designados y removidos por los miembros del Pleno municipal.
c) El Alcalde es el Presidente de la Corporación y ostenta el control y la fiscalización de los órganos de gobierno.
d) Corresponde al Pleno municipal en los Ayuntamientos y a la Asamblea vecinal en el régimen de Concejo Abierto la declaración de lesividad de los actos del Ayuntamiento.",Corresponde al Pleno municipal en los Ayuntamientos y a la Asamblea vecinal en el régimen de Concejo Abierto la declaración de lesividad de los actos del Ayuntamiento.,Artículo 22.,doc148
C1_042,C1,with_options,"¿Cuáles de las siguientes son fuentes del Ordenamiento Jurídico Español?
a) La Ley, los Tratados Internacionales y la jurisprudencia.
b) La Ley, los Reglamentos y la doctrina del Tribunal Supremo.
c) La Ley, los Reglamentos y la jurisprudencia.
d) La Ley, la costumbre y los principios generales del derecho.","La Ley, la costumbre y los principios generales del derecho.",Artículo 1.,doc009
C1_043,C1,with_options,"Se considera infracción muy grave:
a) Los actos discriminatorios u omisiones que supongan directa o indirectamente un trato menos favorable a la persona con discapacidad en relación con otra persona que se encuentre en situación análoga o comparable.
b) La imposición abusiva de cualquier forma de renuncia total o parcial a los derechos de las personas por motivo de o por razón de su discapacidad, basada en una posición de ventaja.
c) Las acciones que deliberadamente generen un grave perjuicio económico o profesional para las personas con discapacidad.
d) La coacción, amenaza, represalia ejercida sobre la persona con discapacidad o sobre otras personas físicas o jurídicas, que hayan entablado o pretendan entablar cualquier clase de acción legal, reclamación, denuncia o participen en procedimientos ya iniciados para exigir el cumplimiento del principio de igualdad de oportunidades, así como la tentativa de ejercitar tales actos.",Las acciones que deliberadamente generen un grave perjuicio económico o profesional para las personas con discapacidad.,Artículo 95.,doc222
C1_044,C1,with_options,"¿Cuál de las siguientes facultades podrá ejercer el Presidente del Gobierno en funciones?
a) Proponer al Rey la convocatoria de un referendum consultivo.
b) Plantear la cuestión de confianza.
c) Proponer al Rey la disolución de alguna de las Cámaras, o de las Cortes Generales.
d) Aprobar decretos leyes.",Aprobar decretos leyes.,Artículo 21.,doc091
C1_045,C1,with_options,"En relación con la sucesión en la Corona, extinguidas todas las líneas llamadas en derecho:
a) El Gobierno proveerá a la sucesión a la Corona en la forma que más convenga a los intereses de los españoles.
b) Las Cortes Generales proveerán a la sucesión a la Corona en la forma que más convenga a los intereses de España.
c) El Gobierno proveerá a la sucesión a la Corona en la forma que más convenga a los intereses de España.
d) El Congreso de los Diputados proveerá a la sucesión a la Corona en la forma que más convenga a los intereses de los españoles. ",Las Cortes Generales proveerán a la sucesión a la Corona en la forma que más convenga a los intereses de España.,Artículo 57.,doc015
C1_046,C1,off_topic,¿Qué requisitos debo cumplir para constituir una sociedad limitada en España?,,,
C1_047,C1,off_topic,¿Cuánto tiempo de antigüedad hace falta para solicitar una excedencia voluntaria en una empresa privada?,,,
C1_048,C1,off_topic,¿Qué recursos existen para reclamar una factura de electricidad que considero incorrecta?,,,
C1_049,C1,off_topic,¿Cómo se solicita el certificado de antecedentes penales para trabajar en el extranjero?,,,
C1_050,C1,off_topic,¿Cuál es el plazo para presentar la declaración de la renta de una persona física?,,,
C1_051,C1,off_topic,¿Qué vacunas necesito para viajar a Kenia?,,,
C1_052,C1,off_topic,¿Cómo puedo saber si un cuadro es una copia o una obra original?,,,
C1_053,C1,off_topic,¿Qué diferencia hay entre el aceite de oliva virgen y virgen extra?,,,
C1_054,C1,off_topic,¿Cuáles son los síntomas más comunes de una intolerancia a la lactosa?,,,
C1_055,C1,off_topic,¿Qué documentación necesito para matricular un coche importado de otro país?,,,
